y	yend	x	xend	key	clickSelects	showSelected2	PANEL
-25.2	1.2	0.23993882862851	0.23993882862851	1 0.23993882862851	X1<0.239939	1	1
-25.2	1.2	0.243136907112785	0.243136907112785	1 0.243136907112785	X1<0.243137	1	1
-25.2	1.2	0.251021129544824	0.251021129544824	1 0.251021129544824	X1<0.251021	1	1
-25.2	1.2	0.258525689016096	0.258525689016096	1 0.258525689016096	X1<0.258526	1	1
-25.2	1.2	0.267083358601667	0.267083358601667	1 0.267083358601667	X1<0.267083	1	1
-25.2	1.2	0.274633940192871	0.274633940192871	1 0.274633940192871	X1<0.274634	1	1
-25.2	1.2	0.275551112601534	0.275551112601534	1 0.275551112601534	X1<0.275551	1	1
-25.2	1.2	0.279929986572824	0.279929986572824	1 0.279929986572824	X1<0.279930	1	1
-25.2	1.2	0.28451476036571	0.28451476036571	1 0.28451476036571	X1<0.284515	1	1
-25.2	1.2	0.285152392461896	0.285152392461896	1 0.285152392461896	X1<0.285152	1	1
-25.2	1.2	0.286204032832757	0.286204032832757	1 0.286204032832757	X1<0.286204	1	1
-25.2	1.2	0.287516793585382	0.287516793585382	1 0.287516793585382	X1<0.287517	1	1
-25.2	1.2	0.289734941557981	0.289734941557981	1 0.289734941557981	X1<0.289735	1	1
-25.2	1.2	0.291737564140931	0.291737564140931	1 0.291737564140931	X1<0.291738	1	1
-25.2	1.2	0.294476487673819	0.294476487673819	1 0.294476487673819	X1<0.294476	1	1
-25.2	1.2	0.296949366573244	0.296949366573244	1 0.296949366573244	X1<0.296949	1	1
-25.2	1.2	0.298555508372374	0.298555508372374	1 0.298555508372374	X1<0.298556	1	1
-25.2	1.2	0.302601688425057	0.302601688425057	1 0.302601688425057	X1<0.302602	1	1
-25.2	1.2	0.307742096367292	0.307742096367292	1 0.307742096367292	X1<0.307742	1	1
-25.2	1.2	0.311019049375318	0.311019049375318	1 0.311019049375318	X1<0.311019	1	1
-25.2	1.2	0.313761122408323	0.313761122408323	1 0.313761122408323	X1<0.313761	1	1
-25.2	1.2	0.319793840171769	0.319793840171769	1 0.319793840171769	X1<0.319794	1	1
-25.2	1.2	0.329834020347334	0.329834020347334	1 0.329834020347334	X1<0.329834	1	1
-25.2	1.2	0.33800692204386	0.33800692204386	1 0.33800692204386	X1<0.338007	1	1
-25.2	1.2	0.343670244561508	0.343670244561508	1 0.343670244561508	X1<0.343670	1	1
-25.2	1.2	0.348180329776369	0.348180329776369	1 0.348180329776369	X1<0.348180	1	1
-25.2	1.2	0.34924258524552	0.34924258524552	1 0.34924258524552	X1<0.349243	1	1
-25.2	1.2	0.350019667414017	0.350019667414017	1 0.350019667414017	X1<0.350020	1	1
-25.2	1.2	0.353852582513355	0.353852582513355	1 0.353852582513355	X1<0.353853	1	1
-25.2	1.2	0.358912586583756	0.358912586583756	1 0.358912586583756	X1<0.358913	1	1
-25.2	1.2	0.367060573771596	0.367060573771596	1 0.367060573771596	X1<0.367061	1	1
-25.2	1.2	0.376678721862845	0.376678721862845	1 0.376678721862845	X1<0.376679	1	1
-25.2	1.2	0.383774210931733	0.383774210931733	1 0.383774210931733	X1<0.383774	1	1
-25.2	1.2	0.387746866676025	0.387746866676025	1 0.387746866676025	X1<0.387747	1	1
-25.2	1.2	0.388044474180788	0.388044474180788	1 0.388044474180788	X1<0.388044	1	1
-25.2	1.2	0.391096187522635	0.391096187522635	1 0.391096187522635	X1<0.391096	1	1
-25.2	1.2	0.395532014663331	0.395532014663331	1 0.395532014663331	X1<0.395532	1	1
-25.2	1.2	0.398266981705092	0.398266981705092	1 0.398266981705092	X1<0.398267	1	1
