group	y	x	PANEL
6	-0.0871489421705078	0.191020168247633	1
6	-0.190589473496125	0.198249337496236	1
6	-0.334468989418298	0.199849189142697	1
6	-0.519467004833423	0.20045562973246	1
6	-0.321522136972106	0.201244466705248	1
6	-0.50478229024823	0.203831824124791	1
6	-0.731186181499311	0.212392318877392	1
6	-0.492132305768742	0.222250327235088	1
6	-0.299694579882129	0.232360110268928	1
6	-0.154118034770264	0.23993882862851	1
6	-0.290646620803734	0.243136907112785	1
6	-0.472656925125754	0.251021129544824	1
6	-0.282774300004888	0.258525689016096	1
6	-0.140288630198469	0.267083358601667	1
6	-0.276058825611713	0.274633940192871	1
6	-0.134296004587142	0.275551112601534	1
6	-0.0421379809370208	0.279929986572824	1
6	-0.128882377959158	0.28451476036571	1
6	-0.266168937875101	0.285152392461896	1
6	-0.124036610803898	0.286204032832757	1
6	-0.0343024953958064	0.287516793585382	1
6	-0.000208037806423533	0.289734941557981	1
6	-0.0307310611267155	0.291737564140931	1
6	0	0.294476487673819	1
6	-0.0326261039572913	0.296949366573244	1
6	-0.000233745912503025	0.298555508372374	1
6	-0.0241843987267103	0.302601688425057	1
6	-0.110711026506671	0.307742096367292	1
6	-0.0211768765275693	0.311019049375318	1
6	-0.0024608212913364	0.313761122408323	1
6	-0.0183278707865782	0.319793840171769	1
6	-0.00483048248229068	0.329834020347334	1
6	-0.0156251656149919	0.33800692204386	1
6	-0.109849275128084	0.343670244561508	1
6	-0.0130577694037086	0.348180329776369	1
6	-0.0141016877763462	0.34924258524552	1
6	-0.0106157651406491	0.350019667414017	1
6	-0.119380127495617	0.353852582513355	1
6	-0.380155903147859	0.358912586583756	1
6	-0.131833342171099	0.367060573771596	1
6	-0.00607288590913413	0.376678721862845	1
6	-0.0654280221002495	0.383774210931733	1
7	-0.340789211900454	0.4168148789322	1
7	-0.218427058478461	0.427291237749159	1
7	-0.132110580820495	0.432563537382521	1
7	-0.0721505053742249	0.438759828102775	1
7	-0.0325956076991361	0.441852807882242	1
7	-0.0095537298598245	0.444241595338099	1
7	-0.00036515756096378	0.4490931147011	1
7	-0.00315685110942177	0.457439052755944	1
7	-0.0165850567850612	0.462654642178677	1
7	-0.34082149595859	0.465913347317837	1
7	-0.260162048055866	0.473298299242742	1
7	-0.19216795383425	0.483675657189451	1
7	-0.13567845377829	0.495371556142345	1
7	-0.0897967358416576	0.502510058227927	1
7	-0.0538367671334576	0.50866599928122	1
7	-0.0272860982645611	0.523912533186376	1
7	-0.00978004005072819	0.536206377553754	1
7	-0.00108430556630168	0.541436879779212	1
7	-0.00108430556630168	0.546994024771266	1
7	-0.00978004005072819	0.5513289043447	1
7	-0.354750211573016	0.556530848611146	1
7	-0.282224742093044	0.561612074496225	1
7	-0.217648479371054	0.56591929984279	1
7	-0.160978769992674	0.570373913738877	1
7	-0.112281105959976	0.572215375024825	1
7	-0.0717402566452314	0.573005669168197	1
7	-1.57734934786512	0.573851637658663	1
7	-1.44153470010223	0.58514691866003	1
7	-1.31018684600167	0.60493490321096	1
7	-1.18302091770294	0.619537319638766	1
7	-1.05977849169783	0.626159008126706	1
